INFO  - 2013-09-13 03:19:04.243; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-09-13 03:19:04.272; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/zim/solr/foodrecommender/contexts at interval 0
INFO  - 2013-09-13 03:19:04.288; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/zim/solr/foodrecommender/contexts/solr-jetty-context.xml
INFO  - 2013-09-13 03:19:04.361; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/zim/solr/foodrecommender/webapps/solr.war!/ to /Users/zim/solr/foodrecommender/solr-webapp/webapp
INFO  - 2013-09-13 03:19:06.221; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-09-13 03:19:06.404; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-09-13 03:19:06.463; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-09-13 03:19:06.463; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-09-13 03:19:06.464; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-09-13 03:19:06.583; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/zim/solr/foodrecommender/solr/solr.xml
INFO  - 2013-09-13 03:19:06.798; org.apache.solr.core.CoreContainer; New CoreContainer 673532189
INFO  - 2013-09-13 03:19:06.799; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-09-13 03:19:06.800; org.apache.solr.core.CoreContainer; loading shared library: /Users/zim/solr/foodrecommender/solr/lib
WARN  - 2013-09-13 03:19:06.800; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: lib (resolved as: /Users/zim/solr/foodrecommender/solr/lib).
INFO  - 2013-09-13 03:19:06.819; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-09-13 03:19:06.819; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-09-13 03:19:06.821; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-09-13 03:19:06.821; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-09-13 03:19:06.822; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-09-13 03:19:06.822; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
